== Features disponibles del JIT (paridad JIT == walker) ==
SCRIPT                     RES    SALIDA (JIT)
------                     ---    -----
01-operadores.clsx         PASS   suma: 5 resta: 4 mult: 8 div: 2
02-strings.clsx            PASS   interp: Hola CLS
03-tuplas.clsx             PASS   t[0]: 10 t[1]: veinte t[2]: 30
04-arrays.clsx             PASS   Array: [3, 1, 2, 4]
05-control-flujo.clsx      PASS   === if ===
06-enums.clsx              PASS   enum? <enum Nivel>
07-structs.clsx            PASS   struct: Punto { x: 3, y: 4 }
08-clases.clsx             PASS   animal: gato ...
09-records.clsx            PASS   u: {a: 10, b: 20, c: "jajaj"}
10-cmx.clsx                PASS   tag: app
11-stdlib.clsx             PASS   abs: 7
12-funciones.clsx          PASS   f: <function suma>
13-try-catch.clsx          PASS   === try/catch ===
14-try-divzero.clsx        PASS   === try/catch div por cero ===
15-try-finally.clsx        PASS   === try/finally con excepcion capturada fuera ===
16-try-anidado.clsx        PASS   === try/catch con funcion que lanza ===
17-shapes.clsx             PASS   === shape inferido ===
18-dict-any.clsx           PASS   === Record<K,V> dict mutable ===
19-closures.clsx           PASS   === closure simple ===
20-closure-nested.clsx     PASS   === closure-de-closure ===
21-from-import.clsx        PASS   === from import con alias ===
22-include.clsx            PASS   === include ===
23-import-namespaced.clsx  PASS   === import as (namespaced) ===
25-bitops.clsx             PASS   === operadores bit a bit ===
libmod.clsx                PASS   (sin salida)

Resultado: 25 PASS, 0 FAIL
