[JIT-TIMING] lectura                            0.38 ms
[JIT-TIMING] lexer                              0.19 ms
[JIT-TIMING] parser                             0.23 ms
[JIT-TIMING] cach├® CLSÔåÆWASM: HIT (2226 bytes)
[JIT-TIMING] Engine::default                    5.81 ms
[JIT-TIMING] Module::new (Cranelift)            9.70 ms
[JIT-TIMING] Store+Linker                       0.21 ms
[JIT-TIMING] register hosts                     3.20 ms
[JIT-TIMING] instantiate                        0.72 ms
[JIT-TIMING] write_args                         0.25 ms
[JIT-TIMING] ejecuci├│n main                     0.32 ms
